FREQ;Frekvens;BASE_CUR;Basisvaluta;QUOTE_CUR;Kvoteringsvaluta;TENOR;Løpetid;DECIMALS;CALCULATED;UNIT_MULT;Multiplikator;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2011;5,6074
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2012;5,821
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2013;5,8768
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2014;6,3019
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2015;8,0739
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2016;8,3987
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2017;8,263
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2018;8,1338
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2019;8,8037
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2020;9,4004
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2021;8,5991
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2022;9,6245
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2023;10,5647
